"","position","base","log"
"1",1,"ACT-PARTIELLE-DEP/","n'est pas mensuelle|0"
"2",2,"ACT-PARTIELLE-REG/","n'est pas mensuelle|0"
"3",3,"ACT-TRIM-ANC/","n'est pas mensuelle|0"
"4",4,"AGM-NAS-DEP/","n'est pas mensuelle|0"
"5",5,"AGM-NAS-REG/","n'est pas mensuelle|0"
"6",6,"APE-PEC-DEP/","n'est pas mensuelle|0"
"7",7,"APE-PEC-REG/","n'est pas mensuelle|0"
"8",8,"APP-JEN-DEP/","n'est pas mensuelle|0"
"9",9,"APP-JEN-REG/","n'est pas mensuelle|0"
"10",10,"BPM6-CCAPITAL/","Base bien chargee et en position 1|0"
"11",11,"BPM6-CFINANCIER/","Base bien chargee et en position 2|0"
"12",12,"BPM6-CTRANSACTION/","Base bien chargee et en position 3|0"
"13",13,"BPM6-TOTAL/","Base bien chargee et en position 4|0"
"14",14,"CA-INTERNET/","Il manque les variables importantes dans la base|0"
"15",15,"CA-VOL-ALIM/","Il manque les variables importantes dans la base|0"
"16",16,"CESSATIONS-ENT-DOM-ENS/","Il manque les variables importantes dans la base|0"
"17",17,"CESSATIONS-ENT-FR-ENS/","Il manque les variables importantes dans la base|0"
"18",18,"CESSATIONS-ENT-FR-NES16/","Il manque les variables importantes dans la base|0"
"19",19,"CESSATIONS-ENT-FR-RGP/","Il manque les variables importantes dans la base|0"
"20",20,"CESSATIONS-ENT-REG-ENS/","Il manque les variables importantes dans la base|0"
"21",21,"CESSATIONS-ENT-REG-NES16/","Il manque les variables importantes dans la base|0"
"22",22,"CESSATIONS-ENT-REG-RGP/","Il manque les variables importantes dans la base|0"
"23",23,"CHEP-AGRI-DEP/","n'est pas mensuelle|0"
"24",24,"CHEP-AGRI-REG/","n'est pas mensuelle|0"
"25",25,"CHO-AN-AGE/","n'est pas mensuelle|0"
"26",26,"CHO-AN-CSP/","n'est pas mensuelle|0"
"27",27,"CHO-AN-HALO/","n'est pas mensuelle|0"
"28",28,"CHO-LGD-STR/","n'est pas mensuelle|0"
"29",29,"CHO-TRIM-HALO/","n'est pas mensuelle|0"
"30",30,"CHO-TRIM-HALO-CAT/","n'est pas mensuelle|0"
"31",31,"CHO-TRIM-NB-TX/","n'est pas mensuelle|0"
"32",32,"CHO-TRIM-PART-POP/","n'est pas mensuelle|0"
"33",33,"CIRCULATION-ROUTIERE/","Base bien chargee et en position 5|0"
"34",34,"CLIMAT-AFFAIRES/","Base bien chargee et en position 6|0"
"35",35,"CNA-2005-CF-BR/","erreur de chargement :|Error in download.file(paste(""http://www.bdm.insee.fr/series/sdmx/data/"",  : 
  impossible d'ouvrir l'URL 'http://www.bdm.insee.fr/series/sdmx/data/CNA-2005-CF-BR/?startPeriod=2014'
"
"36",36,"CNA-2005-CF-SI/","Il manque les variables importantes dans la base|0"
"37",37,"CNA-2005-CONSO-MEN-DURAB/","Il manque les variables importantes dans la base|0"
"38",38,"CNA-2005-CONSO-MEN-FONCTION/","Il manque les variables importantes dans la base|0"
"39",39,"CNA-2005-CONSO-MEN-PRODUIT/","Il manque les variables importantes dans la base|0"
"40",40,"CNA-2005-CONSO-SI-A17/","Il manque les variables importantes dans la base|0"
"41",41,"CNA-2005-CONSO-SI-A38/","Il manque les variables importantes dans la base|0"
"42",42,"CNA-2005-CONSO-SI-A88/","Il manque les variables importantes dans la base|0"
"43",43,"CNA-2005-CPEB-A17/","Il manque les variables importantes dans la base|0"
"44",44,"CNA-2005-CPEB-A38/","Il manque les variables importantes dans la base|0"
"45",45,"CNA-2005-CPEB-A88/","Il manque les variables importantes dans la base|0"
"46",46,"CNA-2005-CSI/","Il manque les variables importantes dans la base|0"
"47",47,"CNA-2005-DEP-APU/","Il manque les variables importantes dans la base|0"
"48",48,"CNA-2005-DEP-APU-OP/","Il manque les variables importantes dans la base|0"
"49",49,"CNA-2005-DETTE-APU/","Il manque les variables importantes dans la base|0"
"50",50,"CNA-2005-DUREE-TRAV-A17/","Il manque les variables importantes dans la base|0"
"51",51,"CNA-2005-DUREE-TRAV-A38/","Il manque les variables importantes dans la base|0"
"52",52,"CNA-2005-EMPLOI-A17/","Il manque les variables importantes dans la base|0"
"53",53,"CNA-2005-EMPLOI-A38/","Il manque les variables importantes dans la base|0"
"54",54,"CNA-2005-EMPLOI-SI/","Il manque les variables importantes dans la base|0"
"55",55,"CNA-2005-ERE-A17/","Il manque les variables importantes dans la base|0"
"56",56,"CNA-2005-ERE-A38/","Il manque les variables importantes dans la base|0"
"57",57,"CNA-2005-ERE-A88/","erreur de chargement :|Error in download.file(paste(""http://www.bdm.insee.fr/series/sdmx/data/"",  : 
  impossible d'ouvrir l'URL 'http://www.bdm.insee.fr/series/sdmx/data/CNA-2005-ERE-A88/?startPeriod=2014'
"
"58",58,"CNA-2005-FAF/","Il manque les variables importantes dans la base|0"
"59",59,"CNA-2005-FBCF-A17/","Il manque les variables importantes dans la base|0"
"60",60,"CNA-2005-FBCF-A38/","Il manque les variables importantes dans la base|0"
"61",61,"CNA-2005-FBCF-SI-A17/","Il manque les variables importantes dans la base|0"
"62",62,"CNA-2005-FBCF-SI-A38/","Il manque les variables importantes dans la base|0"
"63",63,"CNA-2005-FBCF-SI-A88/","Il manque les variables importantes dans la base|0"
"64",64,"CNA-2005-FINANCES-APU/","Il manque les variables importantes dans la base|0"
"65",65,"CNA-2005-PAT-NF/","Il manque les variables importantes dans la base|0"
"66",66,"CNA-2005-PIB/","Il manque les variables importantes dans la base|0"
"67",67,"CNA-2005-PRODUCTIVITE-A17/","Il manque les variables importantes dans la base|0"
"68",68,"CNA-2005-PRODUCTIVITE-A38/","Il manque les variables importantes dans la base|0"
"69",69,"CNA-2005-RDB/","Il manque les variables importantes dans la base|0"
"70",70,"CNA-2005-TEI-A10/","Il manque les variables importantes dans la base|0"
"71",71,"CNA-2005-TEI-A17/","Il manque les variables importantes dans la base|0"
"72",72,"CNA-2005-TEI-A38/","Il manque les variables importantes dans la base|0"
"73",73,"CNA-2005-TEI-A5/","Il manque les variables importantes dans la base|0"
"74",74,"CNA-2005-TOF-FLUX/","Il manque les variables importantes dans la base|0"
"75",75,"CNA-2005-TOF-VAR/","Il manque les variables importantes dans la base|0"
"76",76,"CNA-2005-VOL-TRAV-A17/","Il manque les variables importantes dans la base|0"
"77",77,"CNA-2005-VOL-TRAV-A38/","Il manque les variables importantes dans la base|0"
"78",78,"CNA-2010-CF-SI/","n'est pas mensuelle|0"
"79",79,"CNA-2010-CONSO-MEN-DURAB/","n'est pas mensuelle|0"
"80",80,"CNA-2010-CONSO-MEN-FONCTION/","n'est pas mensuelle|0"
"81",81,"CNA-2010-CONSO-MEN-PRODUIT/","n'est pas mensuelle|0"
"82",82,"CNA-2010-CONSO-SI-A17/","n'est pas mensuelle|0"
"83",83,"CNA-2010-CONSO-SI-A38/","n'est pas mensuelle|0"
"84",84,"CNA-2010-CONSO-SI-A88/","n'est pas mensuelle|0"
"85",85,"CNA-2010-CPEB-A17/","n'est pas mensuelle|0"
"86",86,"CNA-2010-CPEB-A38/","n'est pas mensuelle|0"
"87",87,"CNA-2010-CPEB-A88/","n'est pas mensuelle|0"
"88",88,"CNA-2010-CSI/","n'est pas mensuelle|0"
"89",89,"CNA-2010-DEP-APU/","n'est pas mensuelle|0"
"90",90,"CNA-2010-DETTE-APU/","n'est pas mensuelle|0"
"91",91,"CNA-2010-DUREE-TRAV-A17/","n'est pas mensuelle|0"
"92",92,"CNA-2010-DUREE-TRAV-A38/","n'est pas mensuelle|0"
"93",93,"CNA-2010-EMPLOI-A17/","n'est pas mensuelle|0"
"94",94,"CNA-2010-EMPLOI-A38/","n'est pas mensuelle|0"
"95",95,"CNA-2010-EMPLOI-SI/","n'est pas mensuelle|0"
"96",96,"CNA-2010-ERE-A17/","n'est pas mensuelle|0"
"97",97,"CNA-2010-ERE-A38/","n'est pas mensuelle|0"
"98",98,"CNA-2010-FAF/","n'est pas mensuelle|0"
"99",99,"CNA-2010-FBCF-A17/","n'est pas mensuelle|0"
"100",100,"CNA-2010-FBCF-A38/","n'est pas mensuelle|0"
"101",101,"CNA-2010-FBCF-A88/","n'est pas mensuelle|0"
"102",102,"CNA-2010-FBCF-SI-A17/","n'est pas mensuelle|0"
"103",103,"CNA-2010-FBCF-SI-A38/","n'est pas mensuelle|0"
"104",104,"CNA-2010-FINANCES-APU/","n'est pas mensuelle|0"
"105",105,"CNA-2010-PAT-NF/","n'est pas mensuelle|0"
"106",106,"CNA-2010-PIB/","n'est pas mensuelle|0"
"107",107,"CNA-2010-PRODUCTIVITE-A17/","n'est pas mensuelle|0"
"108",108,"CNA-2010-PRODUCTIVITE-A38/","n'est pas mensuelle|0"
"109",109,"CNA-2010-RDB/","n'est pas mensuelle|0"
"110",110,"CNA-2010-TEI-A10/","n'est pas mensuelle|0"
"111",111,"CNA-2010-TEI-A17/","n'est pas mensuelle|0"
"112",112,"CNA-2010-TEI-A38/","n'est pas mensuelle|0"
"113",113,"CNA-2010-TEI-A5/","n'est pas mensuelle|0"
"114",114,"CNA-2010-TOF-FLUX/","n'est pas mensuelle|0"
"115",115,"CNA-2010-TOF-VAR/","n'est pas mensuelle|0"
"116",116,"CNA-2010-VOL-TRAV-A17/","n'est pas mensuelle|0"
"117",117,"CNA-2010-VOL-TRAV-A38/","n'est pas mensuelle|0"
"118",118,"CNT-2005-CEB-A17/","Il manque les variables importantes dans la base|0"
"119",119,"CNT-2005-CEB-RGP/","Il manque les variables importantes dans la base|0"
"120",120,"CNT-2005-CPB-A17/","Il manque les variables importantes dans la base|0"
"121",121,"CNT-2005-CPB-RGP/","Il manque les variables importantes dans la base|0"
"122",122,"CNT-2005-CSI-EMP/","Il manque les variables importantes dans la base|0"
"123",123,"CNT-2005-CSI-OP/","Il manque les variables importantes dans la base|0"
"124",124,"CNT-2005-CSI-SC/","Il manque les variables importantes dans la base|0"
"125",125,"CNT-2005-DUREE-TRAV-A17/","Il manque les variables importantes dans la base|0"
"126",126,"CNT-2005-DUREE-TRAV-RGP/","Il manque les variables importantes dans la base|0"
"127",127,"CNT-2005-EMPLOI-A17/","Il manque les variables importantes dans la base|0"
"128",128,"CNT-2005-EMPLOI-RGP/","Il manque les variables importantes dans la base|0"
"129",129,"CNT-2005-OPERATIONS-A17/","Il manque les variables importantes dans la base|0"
"130",130,"CNT-2005-OPERATIONS-RGP/","Il manque les variables importantes dans la base|0"
"131",131,"CNT-2005-PIB-EQB/","Il manque les variables importantes dans la base|0"
"132",132,"CNT-2005-PIB-RF/","Il manque les variables importantes dans la base|0"
"133",133,"CNT-2010-CEB-A17/","n'est pas mensuelle|0"
"134",134,"CNT-2010-CEB-RGP/","n'est pas mensuelle|0"
"135",135,"CNT-2010-CPB-A17/","n'est pas mensuelle|0"
"136",136,"CNT-2010-CPB-RGP/","n'est pas mensuelle|0"
"137",137,"CNT-2010-CSI-EMP/","n'est pas mensuelle|0"
"138",138,"CNT-2010-CSI-OP/","n'est pas mensuelle|0"
"139",139,"CNT-2010-CSI-SC/","n'est pas mensuelle|0"
"140",140,"CNT-2010-DUREE-TRAV-A17/","n'est pas mensuelle|0"
"141",141,"CNT-2010-DUREE-TRAV-RGP/","n'est pas mensuelle|0"
"142",142,"CNT-2010-EMPLOI-A17/","n'est pas mensuelle|0"
"143",143,"CNT-2010-EMPLOI-RGP/","n'est pas mensuelle|0"
"144",144,"CNT-2010-OPERATIONS-A17/","n'est pas mensuelle|0"
"145",145,"CNT-2010-OPERATIONS-RGP/","n'est pas mensuelle|0"
"146",146,"CNT-2010-PIB-EQB/","n'est pas mensuelle|0"
"147",147,"CNT-2010-PIB-RF/","n'est pas mensuelle|0"
"148",148,"CNT-DETTE-INSTRUMENTS/","n'est pas mensuelle|0"
"149",149,"CNT-DETTE-SI/","n'est pas mensuelle|0"
"150",150,"COM-EXT-A17/","Base bien chargee et en position 7|0"
"151",151,"COM-EXT-A38/","Base bien chargee et en position 8|0"
"152",152,"COM-EXT-AFRIQUE/","Base bien chargee et en position 9|0"
"153",153,"COM-EXT-AMERIQUE/","Base bien chargee et en position 10|0"
"154",154,"COM-EXT-ASIE/","Base bien chargee et en position 11|0"
"155",155,"COM-EXT-AUTRES/","Base bien chargee et en position 12|0"
"156",156,"COM-EXT-EUROPE/","Base bien chargee et en position 13|0"
"157",157,"COM-EXT-MOYENORIENT/","Base bien chargee et en position 14|0"
"158",158,"COM-EXT-RGP/","Base bien chargee et en position 15|0"
"159",159,"COM-EXT-ZONE/","Base bien chargee et en position 16|0"
"160",160,"COMPTES-ETAT/","Base bien chargee et en position 17|0"
"161",161,"CONSO-MENAGES-2005/","non remise ? jour depuis la fin 2015|0"
"162",162,"CONSO-MENAGES-2010/","Base bien chargee et en position 18|0"
"163",163,"CONSTRUCTION-LOCAUX-DEP/","n'est pas mensuelle|0"
"164",164,"CONSTRUCTION-LOCAUX-REG/","n'est pas mensuelle|0"
"165",165,"COURS-DEVISES-MAT-PREM/","Base bien chargee et en position 19|0"
"166",166,"COURS-INT-MAT-PREM/","Base bien chargee et en position 20|0"
"167",167,"CRA-2005-PIB/","Il manque les variables importantes dans la base|0"
"168",168,"CRA-2005-VA/","Il manque les variables importantes dans la base|0"
"169",169,"CRA-2010-PIB/","n'est pas mensuelle|0"
"170",170,"CRA-2010-VA/","n'est pas mensuelle|0"
"171",171,"CREATIONS-ENT-DEP-TYPE/","Base bien chargee et en position 21|0"
"172",172,"CREATIONS-ENT-FR-ACT/","n'est pas mensuelle|0"
"173",173,"CREATIONS-ENT-FR-ACT-TYPE/","Base bien chargee et en position 22|0"
"174",174,"CREATIONS-ENT-FR-TYPE/","Base bien chargee et en position 23|0"
"175",175,"CREATIONS-ENT-HISTO/","n'est pas mensuelle|0"
"176",176,"CREATIONS-ENT-NAF1-DEP-RGP/","Il manque les variables importantes dans la base|0"
"177",177,"CREATIONS-ENT-NAF1-DOM-ENS/","Il manque les variables importantes dans la base|0"
"178",178,"CREATIONS-ENT-NAF1-DOM-ENS-ANC/","Il manque les variables importantes dans la base|0"
"179",179,"CREATIONS-ENT-NAF1-DOM-RGP-ANC/","Il manque les variables importantes dans la base|0"
"180",180,"CREATIONS-ENT-NAF1-FR-ENS/","Il manque les variables importantes dans la base|0"
"181",181,"CREATIONS-ENT-NAF1-FR-ENS-ANC/","Il manque les variables importantes dans la base|0"
"182",182,"CREATIONS-ENT-NAF1-FR-RGP/","Il manque les variables importantes dans la base|0"
"183",183,"CREATIONS-ENT-NAF1-FR-RGP-ANC/","Il manque les variables importantes dans la base|0"
"184",184,"CREATIONS-ENT-NAF1-REG-ENS/","Il manque les variables importantes dans la base|0"
"185",185,"CREATIONS-ENT-NAF1-REG-ENS-ANC/","Il manque les variables importantes dans la base|0"
"186",186,"CREATIONS-ENT-NAF1-REG-RGP/","Il manque les variables importantes dans la base|0"
"187",187,"CREATIONS-ENT-NAF1-REG-RGP-ANC/","Il manque les variables importantes dans la base|0"
"188",188,"CREATIONS-ENT-NES16-DOM/","Il manque les variables importantes dans la base|0"
"189",189,"CREATIONS-ENT-NES16-DOM-ANC/","Il manque les variables importantes dans la base|0"
"190",190,"CREATIONS-ENT-NES16-REG/","Il manque les variables importantes dans la base|0"
"191",191,"CREATIONS-ENT-NES16-REG-ANC/","Il manque les variables importantes dans la base|0"
"192",192,"CREATIONS-ENT-NES36-REG-P1/","Il manque les variables importantes dans la base|0"
"193",193,"CREATIONS-ENT-NES36-REG-P1-ANC/","Il manque les variables importantes dans la base|0"
"194",194,"CREATIONS-ENT-REG-ACT/","n'est pas mensuelle|0"
"195",195,"CREATIONS-ENT-REG-ACT-TYPE/","n'est pas mensuelle|0"
